CMBO,SSO,SSA,WHO,SMO,HYBRID
0.829257084,-0.128139975,-0.116292296,0.501143101,-0.001910807,0.476715411
0.129033515,-0.401037899,-0.115787993,-0.147028027,-0.002024415,-0.479439864
0.619261072,-0.746254119,0.057785154,0.752077145,-0.000108277,-0.367615495
-0.029243344,-0.411536959,-0.050761087,0.533546176,0.002676111,-0.937886995
0.898696358,-0.340340769,0.028523921,-0.078854021,-0.004665004,-0.062186041
0.199085208,0.046419618,0.008800518,0.660252684,-0.009687857,-0.729471024
-0.494832831,0.892864115,-0.083935924,-0.45397183,0.013122157,-0.307172048
-0.542119145,0.856992572,0.008883829,0.627533363,0.002102282,0.007719078
-0.941750437,0.851247712,0.069502836,0.044545918,0.003630723,-0.010382273
-0.972954012,-0.98321426,0.085088438,-0.686975608,-0.006394592,-0.9984171
-0.141673999,0.592131922,-0.057964845,0.221791138,-0.001802314,0.014832818
-0.168604112,-0.223504967,0.029410787,0.485705833,-0.005449066,0.673567215
-0.8319975,-0.48503143,-0.01216127,0.053469342,-0.004447507,-0.288777805
-0.195808353,-0.649420305,-0.038219117,0.633614664,-0.002419315,0.02107232
0.39510055,0.910589457,-0.036774032,0.996363282,0.011482558,-0.858122231
-0.209998559,-0.35784078,-0.123558182,0.46654385,0.002672783,-0.887715481
-0.658463852,-0.333588847,0.064931625,0.525506274,-0.003670164,-0.132825471
-0.497667244,0.064481591,-0.008896399,0.903704191,0.008589035,-0.457116663
-0.779020025,-0.230375713,-0.113517173,-0.661373995,0.004098496,-0.621309257
-0.439367273,-0.271679861,0.005034364,0.095334386,0.009042148,0.545174906
0.862112435,0.737137881,-0.109797708,-0.64213202,0.007857391,-0.202474264
0.78234399,0.248041765,-0.069804255,0.320744206,0.010946468,-0.49351546
-0.277782522,-0.946572825,-0.12056517,0.455502741,-0.009962024,-0.927375566
-0.190129101,0.909755379,-0.030787899,-0.913546301,0.013883533,-0.609552746
0.155250099,-0.312188005,-0.021900068,0.882154432,0.005042341,-0.266089635
-0.806696432,0.789870373,-0.076152096,-0.013368503,0.008285087,0.217305824
0.286688691,0.700809797,0.062820174,-0.265384693,-0.009646307,0.614880797
-0.52010581,-0.44995723,-0.065621108,-0.860245008,7.36E-05,-0.987239521
0.046164055,0.311416775,-0.110907532,0.888772303,-0.010377481,-0.854942591
0.069159994,0.527952411,-0.084898165,0.708791367,0.009927399,0.157200988
0.060633841,0.541349215,-0.102312536,-0.381696379,-0.011709142,0.562266992
-0.845897412,-0.137404948,0.030254563,0.457744937,0.007877817,0.001043281
-0.998474039,0.935011448,0.058532786,0.785751813,-0.002141437,-0.586672311
-0.198750761,-0.820141096,-0.109089922,-0.391121164,-0.006730812,0.137111353
0.698146858,0.966835192,-0.085131865,0.818491006,0.008499923,0.526412094
-0.241118498,-0.92672406,-0.038528198,-0.127547807,-0.007178379,-0.897671538
-0.397706576,0.876356665,-0.008859324,-0.178343451,-0.00265509,-0.979037519
0.438545141,0.83990161,0.010429952,-0.464048394,0.003596607,0.062699073
0.014789223,-0.376109983,0.050562859,-0.283781728,0.001222239,-0.062530597
